zbior,topologia,sasiedztwo,siatka,epoki,sigma,alpha0,lambda,seed,blad_kwantyzacji,klasy_rzeczywiste,klastry_na_mapie,zgodna_liczba_klastrow,aktywne_neurony,neurony_jednoklasowe,wszystkie_neurony_jednoklasowe,srednia_czystosc,min_czystosc
mnist,hexagonal,mexican_hat,12x8,10,0.7,0.08,9000.0,42,20.313611,10,10,True,10,1,False,0.539552,0.300813
mnist,hexagonal,mexican_hat,12x8,10,0.9,0.03,9000.0,42,20.674865,10,10,True,10,2,False,0.65544,0.221106
mnist,hexagonal,mexican_hat,12x8,10,0.9,0.05,9000.0,42,20.567273,10,9,False,9,1,False,0.535343,0.186275
mnist,hexagonal,mexican_hat,12x8,10,0.9,0.08,9000.0,42,20.753103,10,8,False,8,1,False,0.638653,0.253394
mnist,hexagonal,mexican_hat,12x8,10,1.1,0.03,9000.0,42,20.017371,10,18,False,19,4,False,0.669782,0.369863
mnist,hexagonal,mexican_hat,12x8,10,1.1,0.05,9000.0,42,19.990418,10,15,False,16,2,False,0.632572,0.366013
mnist,hexagonal,mexican_hat,12x8,10,1.1,0.08,9000.0,42,19.957327,10,16,False,17,1,False,0.623552,0.25
har,rectangular,mexican_hat,6x6,12,0.5,0.03,9000.0,42,14.752937,6,8,False,8,0,False,0.581973,0.42928
har,rectangular,mexican_hat,6x6,12,0.5,0.05,9000.0,42,14.753881,6,8,False,8,0,False,0.619672,0.437653
har,rectangular,mexican_hat,6x6,12,0.5,0.08,9000.0,42,14.754692,6,8,False,8,0,False,0.636671,0.439506
har,rectangular,mexican_hat,6x6,12,0.7,0.03,9000.0,42,15.418902,6,6,True,6,1,False,0.636436,0.351181
har,rectangular,mexican_hat,6x6,12,0.7,0.05,9000.0,42,15.142361,6,5,False,5,0,False,0.476219,0.426667
har,rectangular,mexican_hat,6x6,12,0.7,0.08,9000.0,42,15.810828,6,3,False,3,0,False,0.445757,0.350548
har,rectangular,mexican_hat,6x6,12,0.9,0.03,9000.0,42,15.539236,6,4,False,4,0,False,0.477517,0.350629
har,rectangular,mexican_hat,6x6,12,0.9,0.05,9000.0,42,15.494789,6,4,False,5,0,False,0.536873,0.351181
har,rectangular,mexican_hat,6x6,12,0.9,0.08,9000.0,42,15.811072,6,3,False,3,0,False,0.445757,0.350548
har,rectangular,mexican_hat,6x6,12,1.1,0.03,9000.0,42,15.101824,6,6,True,7,2,False,0.64607,0.447154
har,rectangular,mexican_hat,6x6,12,1.1,0.05,9000.0,42,15.995153,6,3,False,3,0,False,0.443192,0.350238
har,rectangular,mexican_hat,6x6,12,1.1,0.08,9000.0,42,15.984139,6,3,False,3,0,False,0.443495,0.350711
har,rectangular,mexican_hat,7x7,12,0.5,0.03,9000.0,42,14.708253,6,12,False,13,6,False,0.753813,0.480106
